monto,plazoMeses,estado,clienteId,planPagos
100.0,0,APROBADO,0,
100.0,0,APROBADO,0,
100.0,0,APROBADO,0,
100.0,0,APROBADO,0,
100.0,0,APROBADO,0,
100.0,0,APROBADO,0,
100.0,0,APROBADO,0,
100.0,0,APROBADO,0,
100.0,0,APROBADO,0,
123456.78,36,APROBADO,0,1:3700.1104502533335;2:3700.1104502533335;3:3700.1104502533335;4:3700.1104502533335;5:3700.1104502533335;6:3700.1104502533335;7:3700.1104502533335;8:3700.1104502533335;9:3700.1104502533335;10:3700.1104502533335;11:3700.1104502533335;12:3700.1104502533335;13:3700.1104502533335;14:3700.1104502533335;15:3700.1104502533335;16:3700.1104502533335;17:3700.1104502533335;18:3700.1104502533335;19:3700.1104502533335;20:3700.1104502533335;21:3700.1104502533335;22:3700.1104502533335;23:3700.1104502533335;24:3700.1104502533335;25:3700.1104502533335;26:3700.1104502533335;27:3700.1104502533335;28:3700.1104502533335;29:3700.1104502533335;30:3700.1104502533335;31:3700.1104502533335;32:3700.1104502533335;33:3700.1104502533335;34:3700.1104502533335;35:3700.1104502533335;36:3700.1104502533335
123456.78,12,APROBADO,0,1:10568.824045512822;2:10568.824045512822;3:10568.824045512822;4:10568.824045512822;5:10568.824045512822;6:10568.824045512822;7:10568.824045512822;8:10568.824045512822;9:10568.824045512822;10:10568.824045512822;11:10568.824045512822;12:10568.824045512822
